user1,324
user2,55
user3,216
user4,73
user5,81
user6,344
user7,201
user8,208
user9,54
user10,440
user11,218
user12,250
user10013,128
user14,385
user15,326
user10016,421
user10017,438
user10018,1
user19,468
user20,365
user21,314
user10022,27
user10023,119
user10024,325
user10025,332
user26,443
user10027,23
user10028,237
user10029,5
user10030,382
user31,77
user32,144
user33,261
user10034,4
user10035,439
user36,274
user37,23
user38,25
user39,331
user10040,331
user10041,414
user42,186
user43,218
user10044,201
user10045,60
user46,144
user10047,59
user48,487
user10049,19
user10050,68
user51,357
user10052,406
user10053,373
user10054,279
user55,415
user10056,21
user10057,290
user10058,319
user10059,48
user60,485
user10061,442
user62,164
user63,294
user64,200
user10065,492
user10066,305
user67,166
user10068,306
user10069,428
user70,299
user71,298
user10072,441
user73,132
user74,441
user75,443
user76,125
user10077,229
user78,441
user79,316
user10080,302
user10081,217
user10082,510
user83,505
user10084,311
user10085,476
user86,211
user10087,302
user88,109
user89,387
user90,64
user10091,145
user92,398
user93,46
user10094,433
user95,380
user96,266
user10097,43
user98,503
user99,471
user100,442
user101,96
user102,466
user103,365
user104,333
user105,468
user10106,198
user10107,95
user108,344
user10109,327
user10110,93
user111,124
user112,283
user113,351
user10114,117
user10115,138
user116,280
user10117,105
user10118,315
user10119,54
user120,161
user10121,452
user122,465
user10123,489
user10124,470
user10125,424
user126,171
user127,465
user128,440
user10129,237
user130,170
user131,308
user10132,399
user10133,242
user134,325
user135,434
user10136,483
user137,368
user138,352
user10139,301
user10140,39
user141,487
user10142,12
user143,13
user144,148
user145,219
user146,443
user147,335
user148,217
user149,24
user150,399
user151,29
user10152,373
user10153,495
user154,384
user155,292
user156,5
user157,266
user158,140
user10159,108
user160,83
user161,284
user10162,284
user10163,175
user10164,20
user165,326
user10166,454
user167,228
user168,391
user169,188
user10170,118
user10171,39
user172,348
user173,19
user174,249
user175,100
user10176,372
user177,174
user178,434
user10179,352
user10180,293
user181,427
user182,462
user10183,511
user10184,56
user10185,329
user186,14
user10187,329
user10188,352
user10189,65
user10190,311
user191,510
user192,375
user193,262
user194,377
user10195,277
user10196,425
user197,182
user10198,346
user10199,172
user10200,456
user10201,441
user202,355
user203,248
user10204,171
user10205,222
user206,122
user10207,247
user208,224
user10209,482
user210,109
user10211,338
user212,281
user213,61
user214,99
user10215,237
user216,298
user10217,257
user10218,127
user219,417
user220,382
user10221,2
user222,244
user10223,438
user10224,163
user225,31
user226,118
user227,29
user10228,286
user10229,246
user230,83
user10231,206
user232,395
user10233,459
user234,215
user235,405
user236,445
user237,231
user238,190
user10239,221
user10240,79
user10241,504
user242,16
user243,55
user244,334
user10245,438
user246,470
user247,60
user10248,129
user249,16
user250,319
user251,458
user10252,261
user10253,254
user10254,153
user255,229
user10256,85
user257,304
user258,458
user259,239
user10260,299
user261,368
user10262,115
user263,422
user10264,10
user265,434
user10266,75
user267,203
user268,392
user269,58
user270,460
user10271,30
user272,11
user273,292
user274,70
user10275,507
user10276,88
user277,187
user278,378
user279,307
user280,323
user281,480
user10282,142
user10283,273
user10284,196
user285,78
user10286,155
user10287,1
user288,147
user10289,36
user10290,446
user10291,291
user10292,193
user10293,6
user10294,484
user295,87
user296,289
user297,234
user10298,199
user10299,456
user300,255
user10301,469
user10302,220
user10303,337
user10304,264
user10305,215
user306,142
user10307,444
user10308,18
user10309,511
user10310,54
user311,134
user312,428
user10313,13
user314,442
user10315,378
user10316,220
user10317,320
user318,154
user10319,60
user320,85
user321,193
user10322,328
user10323,379
user10324,358
user325,166
user326,264
user10327,18
user10328,81
user329,11
user10330,146
user10331,405
user10332,139
user333,463
user10334,56
user335,170
user10336,463
user10337,64
user338,444
user339,395
user340,56
user10341,135
user10342,15
user343,189
user344,508
user345,511
user346,211
user347,504
user348,411
user349,199
user350,176
user10351,268
user10352,160
user10353,292
user10354,310
user355,450
user10356,357
user357,185
user358,178
user10359,506
user360,248
user361,305
user10362,65
user363,308
user364,306
user10365,258
user366,496
user367,233
user368,444
user10369,167
user10370,315
user10371,463
user372,23
user373,271
user10374,269
user375,125
user376,152
user377,344
user10378,342
user379,399
user10380,40
user381,275
user382,214
user10383,452
user10384,89
user10385,341
user386,323
user387,288
user10388,374
user389,453
user390,246
user391,443
user392,260
user393,511
user394,268
user10395,178
user396,156
user10397,446
user10398,493
user399,132
user10400,453
user401,421
user10402,186
user403,188
user404,234
user405,288
user10406,152
user10407,255
user408,222
user409,359
user410,260
user10411,242
user412,316
user10413,87
user10414,341
user415,169
user10416,17
user10417,204
user10418,286
user419,299
user10420,404
user421,26
user422,199
user423,24
user10424,379
user425,320
user10426,138
user427,27
user10428,250
user429,370
user10430,203
user431,126
user10432,101
user10433,395
user10434,39
user10435,330
user436,292
user10437,372
user438,311
user10439,249
user10440,394
user10441,209
user10442,489
user443,58
user10444,398
user10445,405
user446,324
user447,49
user448,353
user449,181
user10450,133
user451,483
user10452,33
user453,100
user454,251
user455,317
user456,171
user10457,278
user10458,122
user459,42
user10460,505
user10461,459
user10462,312
user10463,353
user464,485
user465,11
user466,15
user10467,350
user10468,346
user10469,275
user470,59
user471,115
user10472,143
user473,231
user10474,274
user10475,272
user10476,87
user477,18
user478,368
user10479,86
user480,175
user481,466
user482,166
user10483,409
user484,1
user10485,5
user10486,278
user10487,398
user488,448
user10489,415
user10490,44
user10491,286
user492,511
user493,430
user494,214
user10495,182
user10496,348
user10497,55
user10498,482
user10499,300
user500,102
user501,276
user10502,118
user10503,93
user504,22
user505,392
user506,312
user10507,395
user508,226
user10509,150
user10510,510
user511,151
user10512,194
user513,117
user10514,290
